"x","y","aer"
60.05,38.95,67
60.15,38.95,66
60.25,38.95,67
60.35,38.95,66
60.45,38.95,58
60.55,38.95,55
60.65,38.95,55
60.75,38.95,54
60.85,38.95,54
60.95,38.95,52
61.05,38.95,52
61.15,38.95,57
61.25,38.95,58
61.35,38.95,62
61.45,38.95,62
61.55,38.95,62
61.65,38.95,62
61.75,38.95,62
61.85,38.95,62
61.95,38.95,58
62.05,38.95,56
62.15,38.95,55
62.25,38.95,60
62.35,38.95,60
62.45,38.95,59
62.55,38.95,53
62.65,38.95,50
62.75,38.95,46
62.85,38.95,42
62.95,38.95,45
63.05,38.95,45
63.15,38.95,44
63.25,38.95,47
63.35,38.95,49
63.45,38.95,61
63.55,38.95,68
63.65,38.95,60
63.75,38.95,51
63.85,38.95,49
63.95,38.95,49
64.05,38.95,46
64.15,38.95,41
64.25,38.95,40
64.35,38.95,48
64.45,38.95,55
64.55,38.95,56
64.65,38.95,58
64.75,38.95,57
64.85,38.95,56
64.95,38.95,54
65.05,38.95,53
65.15,38.95,54
65.25,38.95,57
65.35,38.95,72
65.45,38.95,79
65.55,38.95,82
65.65,38.95,85
65.75,38.95,76
65.85,38.95,59
65.95,38.95,56
66.05,38.95,56
66.15,38.95,57
66.25,38.95,56
66.35,38.95,57
66.45,38.95,58
66.55,38.95,72
66.65,38.95,74
66.75,38.95,75
66.85,38.95,75
66.95,38.95,68
67.05,38.95,48
67.15,38.95,21
67.25,38.95,13
67.35,38.95,13
67.45,38.95,255
67.55,38.95,255
67.65,38.95,255
67.75,38.95,255
67.85,38.95,255
67.95,38.95,255
68.05,38.95,255
68.15,38.95,255
68.25,38.95,255
68.35,38.95,255
68.45,38.95,255
68.55,38.95,255
68.65,38.95,255
68.75,38.95,255
68.85,38.95,255
68.95,38.95,255
69.05,38.95,255
69.15,38.95,255
69.25,38.95,255
69.35,38.95,255
69.45,38.95,255
69.55,38.95,255
69.65,38.95,255
69.75,38.95,255
69.85,38.95,255
69.95,38.95,255
70.05,38.95,255
70.15,38.95,255
70.25,38.95,255
70.35,38.95,255
70.45,38.95,255
70.55,38.95,255
70.65,38.95,255
70.75,38.95,255
70.85,38.95,255
70.95,38.95,255
71.05,38.95,255
71.15,38.95,255
71.25,38.95,255
71.35,38.95,255
71.45,38.95,255
71.55,38.95,255
71.65,38.95,255
71.75,38.95,255
71.85,38.95,255
71.95,38.95,255
72.05,38.95,255
72.15,38.95,255
72.25,38.95,255
72.35,38.95,255
72.45,38.95,255
72.55,38.95,255
72.65,38.95,255
72.75,38.95,255
72.85,38.95,255
72.95,38.95,255
73.05,38.95,255
73.15,38.95,255
73.25,38.95,255
73.35,38.95,255
73.45,38.95,255
73.55,38.95,255
73.65,38.95,255
73.75,38.95,255
73.85,38.95,255
73.95,38.95,255
74.05,38.95,255
74.15,38.95,10
74.25,38.95,17
74.35,38.95,32
74.45,38.95,255
74.55,38.95,255
74.65,38.95,255
74.75,38.95,255
74.85,38.95,255
74.95,38.95,255
75.05,38.95,255
75.15,38.95,255
75.25,38.95,255
75.35,38.95,255
75.45,38.95,255
75.55,38.95,13
75.65,38.95,13
75.75,38.95,14
75.85,38.95,16
75.95,38.95,16
76.05,38.95,15
76.15,38.95,19
76.25,38.95,19
76.35,38.95,16
76.45,38.95,16
76.55,38.95,17
